name,artist,duration_ms
Got Me Runnin’ Round,Nickelback,245466
Song 2,Blur,121880
Подобен богу,Блуждающие Огни,198106
Trava u Doma (Geoffrey Day Remix),Atomic Heart,234040
Toca Toca,Fly Project,165605
Песня о себе,Екатерина Яшникова,426315
The Baddest,RADIO TAPOK,152386
Barren King,Manntra,155101
damn! (with Chad Kroeger) [Remix],"Jeris Johnson, Ricky Desktop, Chad Kroeger",124125
Rollin' (Air Raid Vehicle),Limp Bizkit,213760
Иордан,Noize MC,221740
Valhalla Calling - Duet Version,Miracle Of Sound,240759
Узоры дорог,Дом Ветров,206538
Must Be Nice,Nickelback,222567
Back In '76,Thundermother,214000
"Брат мой, брат..",Канцлер ГИ,180660
Unforgettable,Godsmack,208418
Ain't Hearin' Nothin',Moonshine Bandits,194933
Here to Win,JAXSON GAMBLE,176333
Отражение,Дом Ветров,232650
Chain Breaker,Brothers of Metal,233301
Eyes on Fire - Zeds Dead Remix,"Blue Foundation, Zeds Dead",320000
Arrest The President,Ice Cube,233720
Whispers in the Dark - Radio Edit,Skillet,193266
Take It To The Edge,Godsmack,195811
The Chain,Various Artists,260000
Monster,Disturbed,243626
database,MAN WITH A MISSION,238013
I-E-A-I-A-I-O,System Of A Down,188600
Колдуньи,Блуждающие Огни,192680
Hymn for the Weekend,Coldplay,258266
Rockstar,Nickelback,252040
Pretty Fly (For A White Guy),The Offspring,188666
Legend,The Score,189120
Old Town Road - Remix,Tough Rhymes,157617
Come Out Swinging,The Offspring,167240
Someone Who Cares,Three Days Grace,292013
"Suerte (Whenever, Wherever)",Shakira,194106
Immortals,Fall Out Boy,189386
Metalingus,Alter Bridge,259959
White Trash Millionaire,Black Stone Cherry,198680
Yggdrasil,Brothers of Metal,272292
Mara,Teren,221631
Asylum,Disturbed,276226
N.i_T-R_(O),The Sidh,268986
AOW,Splasher!,169353
Just Stop,Disturbed,223453
Saints of Los Angeles,Mötley Crüe,202146
Eyes on Fire,Blue Foundation,302826
My Demons,STARSET,288036
Est-ce que tu m'aimes ? - Pilule bleue,GIMS,237093
Прощай,Мельница,233426
Granite,Pendulum,283466
Phenomenon,Thousand Foot Krutch,179226
Power Trip,Bullet Method,189600
Heartbeat,Dan Patlansky,164102
The Nexus,Amaranthe,196053
Assassin's Creed Rogue Main Theme,"Elitsa Alexandrova, Assassin's Creed",128120
Seven Nation Army,The White Stripes,232106
Лента в волосах,Мельница,185280
In The Arms Of Mara,Various Artists,389026
We Are Vikings,Peyton Parrish,239173
Dead,Venjent,209655
Head Above Water,Theory of a Deadman,212240
Touch off,UVERworld,260706
STARSTRUKK,3OH!3,185533
Unstoppable,Eva Under Fire,187823
Sonne,Rammstein,272440
Война,Дом Ветров,225000
Kecharitomene,Loreena McKennitt,395559
"We All Lift Together (From ""Warframe"")",Keith Power,152221
Cookie Thumper!,Die Antwoord,200225
Side of a Bullet,Nickelback,180560
Look At Me Now (feat. Lil' Wayne & Busta Rhymes),Chris Brown,222586
"Gimme!, Gimme!, Gimme! (Maqueta)",Various Artists,237266
Время зимы,Дом Ветров,170929
Black Betty,Midnight Riders,187160
Personal Jesus,RADIO TAPOK,204187
Символ мироздания,Plamenev,212933
Give In To Me,Three Days Grace,199000
Taking You Down,Egypt Central,178640
Full Throttle (Remix),Moonshine Bandits,233552
Hit That,The Offspring,169413
Антенны,Noize MC,233693
Сам,Noize MC,229560
Bad Moon,Hollywood Undead,232166
За Мазу-Рашу!,The Starkillers,291200
Rollin' (Urban Assault Vehicle),Limp Bizkit,382826
Way Out,Krizz Kaliko,207775
Immortals,Henry Jackman,195026
Apache,"BVRNOUT, 5oh8",234057
Last Resort - 2020,Papa Roach,202400
Shake Ya Tailfeather - Radio Edit,Various Artists,295561
She's Got The Look,Candlelight Red,175760
Es regnet Bier,Hämatom,189973
She's Crazy,Moonshine Bandits,190512
Русалка,Wallace Band,213916
Pure Grinding,Avicii,171960
Хэллоуин,Vere dictum,170594
God of the Mind,Disturbed,185640
Core (That's Who We Are),"VIZE, Papa Roach",178909
Time Lapse,TheFatRat,185314
Better Off,Theory of a Deadman,171386
Barrels of Whiskey,The O'Reillys and the Paddyhats,236226
Сага о наёмниках,Дом Ветров,203221
March of War,Ensiferum,92243
Iconic,JAXSON GAMBLE,163354
Jungle,X Ambassadors,189706
Dragonborn,Cernunnos,304750
Irresistible,Fall Out Boy,206506
Art of Darkness - Remix,Kyle Allen Music,270907
Tanz mit mir,Faun,182133
Down with the Sickness,Disturbed,279213
Bad Trip,Otherwise,172213
Indestructible,Disturbed,278026
Kingdom,JAXSON GAMBLE,202409
Ядрёная,Марлины,265541
A Place to Fall,Emphatic,232933
Cobrastyle,Teddybears,179853
Road to Galia,d3stra,206400
#НамМалоКача,Jah Khalib,291604
Rock You Like a Hurricane - 2011,Scorpions,255573
Can't Hold Us,Smokey Punch,244793
Þat Mælti Mín Móðir,HELVEGEN,159152
Unity,TheFatRat,249285
Песня предателя,Noize MC,237023
Yandere Song - Russian Version,MiatriSs,274177
Smack My Bitch Up,The Prodigy,343386
Rompe La Bocina (with El Micha & El Chacal),"Dj Yus, El Micha, El Chacal",189300
My Child,Disturbed,198053
Digital World,Amaranthe,197653
The Safety of Disbelief,Light The Torch,213226
Devils Got You Beat (Nu Disco),Various Artists,186042
Throw It Back (feat. Keith Urban),BRELAND,188936
Butterfly,Crazy Town,216733
It's A Raid (feat. Post Malone),Ozzy Osbourne,260016
Hero,Skillet,186813
Land of Confusion,Disturbed,287066
Trying Not to Love You,Nickelback,251880
The Riddle Anthem - Rework,"Mike Candys, Jack Holiday",173333
Космодесант,Fun Mode,221419
Rattle Them Lugz,Various Artists,175720
Animals,Nazareth,242186
Тебя ждала,Начало Века,196653
Vatt'ghern,Gilead,288705
Про лича,Fun Mode,114775
Savin' Me,Nickelback,219320
Shotgun,Limp Bizkit,272906
Ain't No Rest For The Wicked,Cage The Elephant,175493
My My (Rebel Remix) [feat. Moonshine Bandits & Dez],Burn County,301000
Щедрик,Grandma's Smuzi,101382
Поколено,Slot,211200
Shakin' Hands,Nickelback,219840
Warrior,JAXSON GAMBLE,168524
